idMachine,nom,modele
1,Friteuse Haute Pression,Pro-Fry 9000-X
2,Appareil à Raclette Professionnel,Alpine-Melt Dual
3,Batteur-Mélangeur Industriel,PowerMix Industrial V2
4,Trancheuse à Fromage de Précision,Precision-Cut 350
5,Cellule de Refroidissement Rapide,Arctic-Chill Pro
6,Four à Convection Vapeur,SteamMaster Convection
7,Machine de Mise sous Vide,VacuSeal Elite 40
8,Pompe à Sauce Automatique,Auto-Dispense S-10
9,Nettoyeur Haute Pression,HydroBlast 250 Bar
10,Système de Filtration d'Huile,PureOil Filter System
