idPlat,nom
1,Le Suprême Crousti-Fromage
2,La Pépite du Chalet
3,L’Avalanche de Raclette
4,Le Tender de l'Alpage
5,Le Gratiné des Cimes
6,La Folie Fondante
7,Le Poulet de Haute-Savoie
8,L’Or Blanc des Tenracs
9,Le Croustille-Montagne
10,La Trilogie des Fromages
11,Le Baron du Poêlon
12,La Couronne de Tenders
13,L'Escalier de Fromage
14,Le Festin du Berger
15,La Douceur de l'Étable
16,Le Grand Frisson Savoyard
17,La Braise des Neiges
18,Le Secret du Fromager
19,Le Colosse au Cœur Fondant
20,L'Apothéose de la Raclette
