adresse,nom
12 Rue du Fromage Annecy,Le Palais du Tender Croustillant
45 Avenue des Cimes Chamonix,L'Avalanche de Fromage
8 Place du Marche Chambery,Le Poelon Dore
102 Route du Col La Clusaz,La Grotte de la Raclette
5 bis Rue du Paquier Annecy,Crousti-Savoie Express
22 Allee des Alpages Megeve,Le Sommet du Gout
7 Rue de la Fruitiere Morzine,La Halte du Berger Gourmand
30 Boulevard du Rail Aix les Bains,L'Escale Fondante
15 Rue des Tenders Thonon,Tenders & Rebloch
3 Square de la Dent du Chat,Le Refuge du Tenrac
19 Avenue de Geneve Saint Julien,La Taverne des Montagnards
54 Route de Talloires Veyrier,Le Chalet du Poulet d'Or
2 Passage du Val Joly Contamines,L'Alpage aux Pépites
11 Rue du Vieux Pont Albertville,Le Comptoir de la Coulée
88 Chemin du Belvedere Evian,La Perle de la Raclette
